achieved epsilon,fairness gap,query fairness gap,number answered,student accuracy,coverage,sigma1,sigma2,threshold
9.990927812835473e+00,0.09501856725527258,0.09738417063997779,390,73.44709897610922,0.9842122942559623,30.0,10.0,30.0
3.998260378260814e+00,0.14047898499837136,0.3069822719554042,80,65.04037685060565,0.9983204568357407,30.0,10.0,30.0
5.984153785192309e+00,0.13775751592369745,0.2861340381384586,157,69.45754716981132,0.9969768223043333,30.0,10.0,30.0
4.99772845541838e+00,0.12992514594292381,0.263304856138894,116,68.24540704533963,0.9964729593550554,30.0,10.0,30.0
6.972706157463642e+00,0.15284462355717277,0.18324710231043412,200,67.77067921990584,0.9989922741014444,30.0,10.0,30.0
7.9778095004921e+00,0.14405798411180187,0.17294496570466444,243,72.07207207207207,0.9880752435337589,30.0,10.0,30.0
1.976982165645287e+00,0.1004208203782303,0.5499902250998865,21,62.016806722689076,0.9993281827342962,30.0,10.0,30.0
8.973705294357611e+00,0.11886861032584922,0.13773751546153173,303,69.59379740434856,0.9964729593550554,30.0,10.0,30.0
8.929195178413387e-01,0.05481900489201463,0.9999900000999989,2,48.67316090023514,1.0,30.0,10.0,30.0
2.995286727913771e+00,0.0958008625815075,0.5952281917099533,43,65.23785510169776,0.9991602284178703,30.0,10.0,30.0
3.998260378260814e+00,0.1413945024432714,0.3069822719554042,80,65.05295007564297,0.9991602284178703,30.0,10.0,30.0
9.997709610208467e+00,0.11876935486965101,0.12425095383878987,382,74.0154830023561,0.9979845482028888,30.0,10.0,30.0
5.984153785192309e+00,0.14742995478375415,0.28952816126219283,158,68.80888290713324,0.9983204568357407,30.0,10.0,30.0
4.99772845541838e+00,0.11800556336124468,0.267683305693832,117,67.45631720430107,0.9996640913671482,30.0,10.0,30.0
6.972706157463642e+00,0.148253980191836,0.2003742802537299,202,67.23790322580645,0.9996640913671482,30.0,10.0,30.0
1.976982165645287e+00,0.10071998624009182,0.5499902250998865,21,62.01915000839912,0.9998320456835741,30.0,10.0,30.0
8.929195178413387e-01,0.05481900489201463,0.9999900000999989,2,48.67316090023514,1.0,30.0,10.0,30.0
7.998641717424963e+00,0.1345385900010858,0.14418582771237193,240,71.37565246674524,0.997480685253611,30.0,10.0,30.0
2.995286727913771e+00,0.09599815342922771,0.5952281917099533,43,65.26704736311723,1.0,30.0,10.0,30.0
8.994970596649038e+00,0.14154637109961593,0.16813167406117352,303,69.17128929231804,0.9991602284178703,30.0,10.0,30.0
3.998260378260814e+00,0.14167968950280135,0.3069822719554042,80,65.06550218340611,1.0,30.0,10.0,30.0
9.989891030535677e+00,0.11459615202887619,0.1448158040114067,374,73.52743184113093,0.9979845482028888,30.0,10.0,30.0
5.984153785192309e+00,0.1497441305098331,0.28952816126219283,158,68.83400537634408,0.9996640913671482,30.0,10.0,30.0
4.99772845541838e+00,0.11811599679951162,0.267683305693832,117,67.45045347665435,1.0,30.0,10.0,30.0
6.972706157463642e+00,0.16539604946379038,0.20555530339517608,204,68.45817937520994,1.0,30.0,10.0,30.0
7.998641717424963e+00,0.13100786411700094,0.16168069599941226,242,71.79616548940464,0.9986563654685925,30.0,10.0,30.0
8.994970596649038e+00,0.09185500173785377,0.19274616220309349,306,70.25529056096741,1.0,30.0,10.0,30.0
