achieved epsilon,fairness gap,query fairness gap,number answered,student accuracy,coverage,sigma1,sigma2,threshold
6.9905252332691745e+00,0.17949337234818857,0.17769939892193404,617,80.63214525891055,0.9913333333333333,40.0,15.0,50.0
4.9958720140563875e+00,0.22642665766580733,0.20352549105158096,343,79.55911823647294,0.998,40.0,15.0,50.0
5.98847814042866e+00,0.20232843197735634,0.20977789869310065,479,80.81550802139037,0.9973333333333333,40.0,15.0,50.0
9.99315398053354e+00,0.13033767424235493,0.1442482827845415,1117,81.80565127498276,0.9673333333333334,40.0,15.0,50.0
7.995371942117023e+00,0.16027665519184925,0.19558403531397234,785,81.21212121212122,0.99,40.0,15.0,50.0
5.990231266704936e+00,0.21441284708595437,0.22819895379466898,482,80.13333333333334,1.0,40.0,15.0,50.0
6.999753658498225e+00,0.1924683067886867,0.19343550063607856,615,81.26666666666667,1.0,40.0,15.0,50.0
8.998274450479995e+00,0.17272371192399633,0.16971912607471595,945,81.97713517148621,0.9913333333333333,40.0,15.0,50.0
7.999265563738225e+00,0.18209514823201906,0.15697512643640366,789,82.4,1.0,40.0,15.0,50.0
6.99547155171857e+00,0.19811705949415986,0.19848680554887965,619,79.73333333333333,1.0,40.0,15.0,50.0
8.997887690291154e+00,0.19809766896543396,0.17655568616385792,943,80.3475935828877,0.9973333333333333,40.0,15.0,50.0
7.98849726658311e+00,0.18365365723449362,0.193672370776106,789,81.18745830553702,0.9993333333333333,40.0,15.0,50.0
9.994863305400077e+00,0.1770863123524581,0.20941829287674157,1125,82.48663101604278,0.9973333333333333,40.0,15.0,50.0
8.999322199881579e+00,0.19034574743174854,0.1863304216106576,948,80.6,1.0,40.0,15.0,50.0
9.996139185682043e+00,0.2239798279800676,0.21179458600121553,1126,81.18745830553702,0.9993333333333333,40.0,15.0,50.0
9.917119012546116e-01,0.005340748981361942,0.6499901750999114,21,67.6131322094055,0.7513333333333333,40.0,15.0,50.0
9.917119012546116e-01,0.01777678453336795,0.6499901750999114,21,67.77513855898654,0.842,40.0,15.0,50.0
9.917119012546116e-01,0.048127520503456145,0.6499901750999114,21,67.9550245959241,0.9486666666666667,40.0,15.0,50.0
9.917119012546116e-01,0.08188377182791517,0.6499901750999114,21,67.75919732441471,0.9966666666666667,40.0,15.0,50.0
9.917119012546116e-01,0.08494649274614463,0.6499901750999114,21,67.8,1.0,40.0,15.0,50.0
9.917119012546116e-01,0.08494649274614463,0.6499901750999114,21,67.8,1.0,40.0,15.0,50.0
9.917119012546116e-01,0.08494649274614463,0.6499901750999114,21,67.8,1.0,40.0,15.0,50.0
1.4825561317367195e+00,0.00896421391364155,0.5789424792493474,40,69.42622950819673,0.8133333333333334,40.0,15.0,50.0
1.4825561317367195e+00,0.01999808477706988,0.5789424792493474,40,68.60198624904507,0.8726666666666667,40.0,15.0,50.0
1.4825561317367195e+00,0.0489792290910549,0.5789424792493474,40,69.01306240928882,0.9186666666666666,40.0,15.0,50.0
1.4825561317367195e+00,0.08984721897555425,0.5789424792493474,40,68.68055555555556,0.96,40.0,15.0,50.0
1.4825561317367195e+00,0.11238796169094822,0.5789424792493474,40,68.9326988443236,0.9806666666666667,40.0,15.0,50.0
1.4825561317367195e+00,0.13496097678452168,0.5789424792493474,40,69.04603068712476,0.9993333333333333,40.0,15.0,50.0
1.4825561317367195e+00,0.1358696330801601,0.5789424792493474,40,69.06666666666666,1.0,40.0,15.0,50.0
8.999123660866102e+00,0.19724235654711852,0.16565172715794024,956,82.57006151742993,0.9753333333333334,40.0,15.0,50.0
9.990184117013294e+00,0.19639513544988657,0.17064166876639691,1120,82.9436038514443,0.9693333333333334,40.0,15.0,50.0
8.652458102922589e+00,0.0064232194798444775,0.01276311086539672,895,83.83490971625108,0.7753333333333333,40.0,15.0,50.0
6.991660125105236e+00,0.04520973442512527,0.04782604878917157,643,81.27428127428128,0.858,40.0,15.0,50.0
