threshold,max fairness violation,sigma gnmax,sigma threshold,budget,achieved budget,accuracy,fairness disparity gaps,expected number answered,number answered,sensitive accuracy
55.0,0.0,15.0,40.0,10.0,4.639435445736108,87.26708074534162,0.004179656252710662,300.40284908410496,322,[84.50704225 89.47368421 89.74358974 88.37209302 90.90909091]
55.0,0.05,15.0,40.0,10.0,9.374808696404141,88.0952380952381,0.04176078478864764,997.8367197741492,1008,[86.98795181 92.82296651 89.58333333 86.22754491 82.19178082]
55.0,0.1,15.0,40.0,10.0,9.777707524368491,88.0,0.09217323106727748,1080.070598376555,1075,[87.16216216 89.33333333 83.33333333 89.83050847 93.67088608]
55.0,0.15,15.0,40.0,10.0,9.875347669290207,87.71610555050046,0.1427112750104637,1102.4639292225775,1099,[86.66666667 89.13043478 90.38461538 87.36263736 85.18518519]
55.0,0.2,15.0,40.0,10.0,9.92635710048585,87.56708407871199,0.18556454523371058,1114.9508707297448,1118,[85.71428571 90.98712446 83.97435897 89.13043478 91.56626506]
55.0,0.25,15.0,40.0,10.0,9.967566973275641,87.44434550311665,0.1888454577544741,1121.6964580280548,1123,[86.825054   87.17948718 90.50632911 87.56756757 85.54216867]
55.0,0.3,15.0,40.0,10.0,9.968841953463741,87.46666666666667,0.18974355244707702,1122.5254019017464,1125,[87.25701944 89.31623932 88.05031447 84.94623656 87.95180723]
55.0,0.35,15.0,40.0,10.0,9.968841953463741,87.46666666666667,0.18974355244707702,1122.5254019017464,1125,[87.25701944 89.31623932 88.05031447 84.94623656 87.95180723]
55.0,0.4,15.0,40.0,10.0,9.968841953463741,87.46666666666667,0.18974355244707702,1122.5254019017464,1125,[87.25701944 89.31623932 88.05031447 84.94623656 87.95180723]
55.0,0.45,15.0,40.0,10.0,9.968841953463741,87.46666666666667,0.18974355244707702,1122.5254019017464,1125,[87.25701944 89.31623932 88.05031447 84.94623656 87.95180723]
55.0,0.5,15.0,40.0,10.0,9.968841953463741,87.46666666666667,0.18974355244707702,1122.5254019017464,1125,[87.25701944 89.31623932 88.05031447 84.94623656 87.95180723]
60.0,0.0,15.0,40.0,10.0,4.542146268489315,87.5,0.0014924661134769757,302.47023538106555,328,[90.27777778 81.81818182 84.61538462 90.90909091 87.5       ]
60.0,0.05,15.0,40.0,10.0,8.999884240199757,88.18474758324382,0.04155513199681776,945.4331140232458,931,[87.10526316 89.84771574 90.90909091 84.07643312 93.84615385]
60.0,0.1,15.0,40.0,10.0,9.422084245163015,87.68619662363456,0.09026042111155924,1025.4552594979884,1007,[87.22891566 87.98076923 88.19444444 92.81437126 76.71232877]
60.0,0.15,15.0,40.0,10.0,9.528988446438287,87.80251694094869,0.14060111490463162,1046.1991577483077,1033,[88.7587822  86.32075472 88.43537415 86.62790698 88.        ]
60.0,0.2,15.0,40.0,10.0,9.55828979384361,87.55935422602089,0.19260914257361034,1057.231440596776,1053,[89.22018349 86.23853211 91.89189189 82.18390805 85.71428571]
60.0,0.25,15.0,40.0,10.0,9.614261340195892,87.42911153119093,0.19712155432724904,1064.7758508655709,1058,[89.26940639 86.42533937 83.78378378 89.08045977 83.11688312]
60.0,0.3,15.0,40.0,10.0,9.614261340195892,87.42911153119093,0.19712155432724904,1064.7758508655709,1058,[89.26940639 86.42533937 83.78378378 89.08045977 83.11688312]
60.0,0.35,15.0,40.0,10.0,9.614261340195892,87.42911153119093,0.19712155432724904,1064.7758508655709,1058,[89.26940639 86.42533937 83.78378378 89.08045977 83.11688312]
60.0,0.4,15.0,40.0,10.0,9.614261340195892,87.42911153119093,0.19712155432724904,1064.7758508655709,1058,[89.26940639 86.42533937 83.78378378 89.08045977 83.11688312]
60.0,0.45,15.0,40.0,10.0,9.614261340195892,87.42911153119093,0.19712155432724904,1064.7758508655709,1058,[89.26940639 86.42533937 83.78378378 89.08045977 83.11688312]
60.0,0.5,15.0,40.0,10.0,9.614261340195892,87.42911153119093,0.19712155432724904,1064.7758508655709,1058,[89.26940639 86.42533937 83.78378378 89.08045977 83.11688312]
65.0,0.0,15.0,40.0,10.0,4.499220296709583,87.65822784810126,0.0015057579301211987,298.19904212632474,316,[82.60869565 93.24324324 87.17948718 93.02325581 90.90909091]
65.0,0.05,15.0,40.0,10.0,8.647917972271719,88.25541619156215,0.040858410086361485,886.3840959167702,877,[88.67403315 89.78494624 83.87096774 91.03448276 83.33333333]
65.0,0.1,15.0,40.0,10.0,9.043482005139401,88.02521008403362,0.08875085394686905,967.3528045533928,952,[86.11825193 89.         86.76470588 91.7721519  89.85507246]
65.0,0.15,15.0,40.0,10.0,9.172510196374382,87.94688457609806,0.141247407371917,986.4727054279285,979,[88.27930175 90.19607843 85.81560284 85.18518519 90.14084507]
65.0,0.2,15.0,40.0,10.0,9.21192423326622,87.87575150300601,0.1917908450200097,996.4030210833697,998,[87.40920097 90.82125604 88.11188811 86.58536585 84.50704225]
65.0,0.25,15.0,40.0,10.0,9.256488647239,87.64940239043824,0.19926226633562205,1003.1157253725831,1004,[86.5060241  87.92270531 85.31468531 91.56626506 89.04109589]
65.0,0.3,15.0,40.0,10.0,9.256488647239,87.64940239043824,0.19926226633562205,1003.1157253725831,1004,[86.5060241  87.92270531 85.31468531 91.56626506 89.04109589]
65.0,0.35,15.0,40.0,10.0,9.256488647239,87.64940239043824,0.19926226633562205,1003.1157253725831,1004,[86.5060241  87.92270531 85.31468531 91.56626506 89.04109589]
