threshold,max fairness violation,sigma gnmax,sigma threshold,budget,achieved budget,accuracy,fairness disparity gaps,expected number answered,number answered,sensitive accuracy
30.0,0.05,10.0,20.0,3.0,2.9664228237164316,92.10526315789474,0.0368666635514478,39.85978416482484,38,[ 90.32258065 100.        ]
30.0,0.05,10.0,20.0,4.0,3.999308591883449,89.04109589041096,0.07565796575622524,70.77435078911425,73,[88.52459016 91.66666667]
30.0,0.05,10.0,20.0,5.0,4.996835269845517,90.26548672566372,0.04192551378062381,120.95026115759235,113,[ 87.91208791 100.        ]
30.0,0.05,10.0,20.0,6.0,5.998392846431102,90.3225806451613,0.032200402531118916,163.4665578265626,155,[89.0625    96.2962963]
30.0,0.05,10.0,20.0,7.0,6.985204575663583,87.06467661691542,0.0037878269095359685,203.88614051086262,201,[85.62874251 94.11764706]
30.0,0.05,10.0,20.0,8.0,7.9966372450430505,86.14718614718615,0.04897961615992445,254.40602283751434,231,[85.56701031 89.18918919]
30.0,0.05,10.0,20.0,9.0,8.978261050998123,84.91228070175438,0.018192766708377967,291.4100341429755,285,[82.92682927 97.43589744]
30.0,0.05,10.0,20.0,10.0,9.994372316839202,83.62573099415205,0.03356477464046212,355.5763734926189,342,[82.87671233 88.        ]
30.0,0.05,10.0,20.0,11.0,10.994467368493687,82.03883495145631,0.02782303411757331,397.39305258078366,412,[81.07344633 87.93103448]
30.0,0.05,10.0,20.0,12.0,11.979039644704226,82.23234624145786,0.034314157755442554,456.9746844131042,439,[81.38297872 87.3015873 ]
30.0,0.05,10.0,20.0,13.0,12.990108257392393,81.57894736842105,0.02506368578962717,527.5546722882174,494,[80.52256532 87.67123288]
30.0,0.05,10.0,20.0,14.0,13.999484745440256,83.39100346020761,0.02625882470062918,582.6525963355193,578,[83.29979879 83.95061728]
30.0,0.05,10.0,20.0,15.0,14.996783846366423,84.35054773082942,0.02696264881399979,653.0113026633617,639,[84.44846293 83.72093023]
30.0,0.05,10.0,20.0,16.0,15.999514533083062,83.07905686546464,0.003296677415505933,721.798664134691,721,[82.82988871 84.7826087 ]
30.0,0.1,10.0,20.0,1.0,0.9984039918116745,100.0,0.0,3.2318639698132037,3,[ nan 100.]
30.0,0.1,10.0,20.0,2.0,1.9977038001501812,94.73684210526316,0.1764704844291268,20.464470775382583,19,[ 93.33333333 100.        ]
30.0,0.1,10.0,20.0,3.0,2.9784133283433585,90.47619047619048,3.265300524413206e-07,40.68872803851635,42,[ 87.87878788 100.        ]
30.0,0.1,10.0,20.0,4.0,3.987003445089475,87.5,1.1160705315482744e-07,70.87754778055584,72,[86.66666667 91.66666667]
30.0,0.1,10.0,20.0,5.0,4.994843989034674,88.98305084745763,0.08776598689544624,124.19077431744965,118,[87.23404255 95.83333333]
30.0,0.1,10.0,20.0,6.0,5.996358305009386,90.3225806451613,0.09421590159968488,161.09800063290302,155,[89.84375    92.59259259]
30.0,0.1,10.0,20.0,7.0,6.9845740737241515,87.37373737373737,0.032142909991475205,199.47683002918714,198,[86.58536585 91.17647059]
30.0,0.1,10.0,20.0,8.0,7.973260040904227,85.95744680851064,0.08989393477795146,254.69436901498318,235,[84.34343434 94.59459459]
30.0,0.1,10.0,20.0,9.0,8.994359426873034,83.50877192982456,0.04305558586033112,295.4320649935303,285,[82.5203252  89.74358974]
30.0,0.1,10.0,20.0,10.0,9.993723670885247,80.1186943620178,0.03550994133026372,347.33115630496485,337,[80.83623693 76.        ]
30.0,0.1,10.0,20.0,11.0,10.988666081023432,83.46456692913385,0.04536183130430499,399.9931273697329,381,[84.14634146 79.24528302]
30.0,0.1,10.0,20.0,12.0,11.995439951854689,84.97757847533633,0.06735860200502028,462.01441294197116,446,[84.5144357  87.69230769]
30.0,0.1,10.0,20.0,13.0,12.99344046197007,80.97087378640776,0.03649180743703084,521.6456006172187,515,[80.49886621 83.78378378]
30.0,0.1,10.0,20.0,14.0,13.988969668028478,82.66897746967071,0.08633721627809016,579.2068159329443,577,[81.85483871 87.65432099]
30.0,0.1,10.0,20.0,15.0,14.992544202010311,82.33438485804416,0.08508983783763108,646.9609375644676,634,[82.29927007 82.55813953]
30.0,0.1,10.0,20.0,16.0,15.996766928018978,82.46844319775596,0.04167666539795434,720.5061036441934,713,[83.41384863 76.08695652]
30.0,0.15,10.0,20.0,1.0,0.9984039918116745,100.0,0.0,3.2318639698132037,3,[ nan 100.]
30.0,0.15,10.0,20.0,2.0,1.9977038001501812,94.73684210526316,0.1764704844291268,20.464470775382583,19,[ 93.33333333 100.        ]
30.0,0.15,10.0,20.0,3.0,2.9659734839853087,87.5,0.0735927297095271,42.81905928396878,40,[ 84.84848485 100.        ]
30.0,0.15,10.0,20.0,4.0,3.996187864642442,88.23529411764706,0.019230873705533613,68.77443434624503,68,[87.5        91.66666667]
30.0,0.15,10.0,20.0,5.0,4.970572244134203,85.9504132231405,0.07098496633016133,123.08346248862918,121,[85.56701031 87.5       ]
30.0,0.15,10.0,20.0,6.0,5.997505471254959,85.43046357615894,0.12266820937563355,160.74915313555573,151,[83.2        96.15384615]
30.0,0.15,10.0,20.0,7.0,6.99464764309698,87.5,0.1235456109144097,205.9322858710556,192,[86.16352201 93.93939394]
30.0,0.15,10.0,20.0,8.0,7.982466621493762,84.6774193548387,0.09017301268199235,255.83643811590161,248,[85.16746411 82.05128205]
30.0,0.15,10.0,20.0,9.0,8.98287699567879,84.39716312056737,0.09338961618764868,300.74810096764605,282,[83.12757202 92.30769231]
30.0,0.15,10.0,20.0,10.0,9.993834633674593,82.37082066869301,0.0880942587226605,344.0478250117444,329,[81.97879859 84.7826087 ]
30.0,0.15,10.0,20.0,11.0,10.99503980374016,82.12435233160622,0.012065403038217903,405.4669789855321,386,[80.96676737 89.09090909]
30.0,0.15,10.0,20.0,12.0,11.9816220172,84.17582417582418,0.05930302670121573,464.8065362889059,455,[83.58974359 87.69230769]
30.0,0.15,10.0,20.0,13.0,12.989830691540092,81.78294573643412,0.015099752891454543,520.9408035912263,516,[81.90045249 81.08108108]
30.0,0.15,10.0,20.0,14.0,13.992349438318874,82.03799654576856,0.03294657120430727,586.3578762206279,579,[82.09255533 81.70731707]
30.0,0.15,10.0,20.0,15.0,14.98013009741732,82.82504012841092,0.05769227857921791,645.1105709612983,623,[81.66666667 90.36144578]
30.0,0.15,10.0,20.0,16.0,15.988204672765853,82.3529411764706,0.06373862380243339,727.4501125787607,731,[81.66144201 87.09677419]
30.0,0.2,10.0,20.0,1.0,0.9984039918116745,100.0,0.0,3.2318639698132037,3,[ nan 100.]
30.0,0.2,10.0,20.0,2.0,1.9977038001501812,94.73684210526316,0.1764704844291268,20.464470775382583,19,[ 93.33333333 100.        ]
30.0,0.2,10.0,20.0,3.0,2.9979233613195753,82.5,0.0735927297095271,42.637521825508074,40,[81.81818182 85.71428571]
30.0,0.2,10.0,20.0,4.0,3.9691520029563674,87.87878787878788,0.007843261207120034,67.29399006421538,66,[87.03703704 91.66666667]
30.0,0.2,10.0,20.0,5.0,4.995836382759851,88.13559322033899,0.0928030684149479,122.08776147893835,118,[87.23404255 91.66666667]
30.0,0.2,10.0,20.0,6.0,5.993364160351817,83.97435897435898,0.16629465976013227,160.01989984764163,156,[83.72093023 85.18518519]
30.0,0.2,10.0,20.0,7.0,6.996875219515095,85.71428571428571,0.12235071322312907,206.64579156599754,203,[85.20710059 88.23529412]
30.0,0.2,10.0,20.0,8.0,7.992641078122416,82.64462809917356,0.09637492191141586,248.9015828890558,242,[81.46341463 89.18918919]
30.0,0.2,10.0,20.0,9.0,8.997174572158379,83.04498269896193,0.09034610827866468,301.6685209411139,289,[81.6        92.30769231]
30.0,0.2,10.0,20.0,10.0,9.98853355506835,82.1875,0.1338956436127666,341.707664121681,320,[82.11678832 82.60869565]
30.0,0.2,10.0,20.0,11.0,10.994680035335351,82.09718670076727,0.03567364039122212,404.7081129973366,391,[81.8452381  83.63636364]
30.0,0.2,10.0,20.0,12.0,11.996095051296383,82.67543859649123,0.04719383549091616,463.75778894236134,456,[81.84143223 87.69230769]
30.0,0.2,10.0,20.0,13.0,12.991628989041395,82.6171875,0.010229715835111619,522.3391719422148,512,[82.42009132 83.78378378]
30.0,0.2,10.0,20.0,14.0,13.984479687625159,81.89655172413794,0.002746206340384527,589.4982709535656,580,[82.12851406 80.48780488]
30.0,0.2,10.0,20.0,15.0,14.999406252135518,81.67456556082149,0.06751547691956983,644.5173837966078,633,[81.17001828 84.88372093]
30.0,0.2,10.0,20.0,16.0,15.999594524696242,82.36111111111111,0.038940099540188955,725.0501466447629,720,[81.84713376 85.86956522]
30.0,0.25,10.0,20.0,1.0,0.9984039918116745,100.0,0.0,3.2318639698132037,3,[ nan 100.]
